Sample	Cancer type	DITHER score	mDITHER score	cDITHER score
TCGA-CU-A3QU-01A	BLCA	3.306748755	3.790202277	2.823295232
TCGA-CU-A3YL-01A	BLCA	2.78690426	3.289051543	2.284756976
TCGA-CU-A5W6-01A	BLCA	2.955636197	3.317372444	2.593899949
TCGA-CU-A72E-01A	BLCA	2.826122822	3.317996609	2.334249036
TCGA-DK-A1A3-01A	BLCA	2.906614594	3.138801988	2.6744272
TCGA-DK-A1A5-01A	BLCA	3.305670903	3.648373871	2.962967934
TCGA-DK-A1A6-01A	BLCA	3.356316811	3.860197643	2.85243598
TCGA-DK-A1A7-01A	BLCA	3.438910599	3.857313795	3.020507402
TCGA-DK-A1AA-01A	BLCA	2.798414299	3.353364895	2.243463702
TCGA-DK-A1AB-01A	BLCA	2.484567306	2.862672262	2.106462351
TCGA-DK-A1AC-01A	BLCA	3.320583835	3.639488167	3.001679504
TCGA-DK-A1AD-01A	BLCA	3.26753349	3.603414748	2.931652231
TCGA-DK-A1AE-01A	BLCA	2.776963227	3.031091452	2.522835002
TCGA-DK-A1AF-01A	BLCA	1.579688454	1.353823496	1.805553412
TCGA-DK-A1AG-01A	BLCA	2.650485251	3.275288571	2.02568193
TCGA-DK-A2HX-01A	BLCA	2.909680328	3.037319788	2.782040867
TCGA-DK-A2I1-01A	BLCA	3.166264002	3.467740867	2.864787136
TCGA-DK-A2I2-01A	BLCA	2.546318928	2.560319572	2.532318285
TCGA-DK-A2I4-01A	BLCA	2.125352818	2.149094722	2.101610913
TCGA-DK-A2I6-01A	BLCA	3.361527253	3.900417454	2.822637052
TCGA-DK-A3IK-01A	BLCA	2.73246598	2.983293908	2.481638052
TCGA-DK-A3IL-01A	BLCA	3.225265056	3.71120899	2.739321123
TCGA-DK-A3IM-01A	BLCA	3.441486383	4.017742933	2.865229833
TCGA-DK-A3IN-01A	BLCA	2.948690798	3.153284536	2.744097059
TCGA-DK-A3IQ-01A	BLCA	2.473282263	2.694868269	2.251696257
TCGA-DK-A3IS-01A	BLCA	3.383767752	3.749312436	3.018223069
TCGA-DK-A3IT-01A	BLCA	2.895621155	3.187958403	2.603283908
TCGA-DK-A3IU-01A	BLCA	2.098771506	2.09176069	2.105782322
TCGA-DK-A3IV-01A	BLCA	3.071668066	3.173188467	2.970147665
TCGA-DK-A3WW-01A	BLCA	2.589758611	2.89074947	2.288767752
TCGA-DK-A3WX-01A	BLCA	2.200027357	2.321561062	2.078493653
TCGA-DK-A3WY-01A	BLCA	1.49963386	1.465790469	1.533477251
TCGA-DK-A3X1-01A	BLCA	2.947716809	2.98734261	2.908091008
TCGA-DK-A3X2-01A	BLCA	3.255655645	3.750777779	2.760533511
TCGA-DK-A6AV-01A	BLCA	3.078469529	3.369153437	2.787785621
TCGA-DK-A6AW-01A	BLCA	2.477984044	3.057608598	1.898359491
